Name,Location,Ranking,Cost of Living,Intakes,Application Fees,Under Graduate GPA/Percentage,Under Graduate Tuition Fees,IELTS marks required,PTE marks required,Gap?,Post Graduate Tuition Fees,Post Graduate GPA/Percentage,Post Graduate IELTS,Post Graduate PTE,Post Graduate Gap Acceptance,Agent,Sample Undergraduate Courses,Sample Postgraduate Courses
ANU,Canberra,3,21000,February,100,85,45000,6.5,58,Yes,49000,85,6.5,58,Yes,Agent C,Bachelor of Political Science; Bachelor of International Security Studies; Bachelor of Advanced Computing; Bachelor of Environment and Sustainability,Master of Public Policy; Master of Applied Finance; Master of Strategic Studies; Master of Data Engineering
University of Canberra,Canberra,26,18000,February,100,70,16000,6,50,Yes,20000,70,6,50,Yes,Agent Z,Bachelor of Building and Construction Management; Bachelor of Business; Bachelor of Arts; Bachelor of Environmental Science,Master of Business Administration; Master of Public Administration; Master of Counselling; Master of Data Science
University of Canterbury,Christchurch,4,20000,February,120,70,38000,6.5,58,Yes,20000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Canterbury,Christchurch,4,20000,February,120,70,38000,6.5,58,Yes,20000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Canterbury,Christchurch,4,20000,February,120,70,38000,6.5,58,Yes,20000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Canterbury,Christchurch,4,20000,February,120,70,38000,6.5,58,Yes,20000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science,
Christchurch Polytechnic Institute of Technology,Christchurch,24,21000,February,135,75,37000,6.5,58,Yes,20000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Otago,Dunedin,2,20000,February,140,80,42000,6.5,60,Yes,20000,70,6,50,Yes,Agent DD,Bachelor of Medicine; Bachelor of Surgery; Bachelor of Dental Surgery; Bachelor of Laws,Master of Business Administration; Master of Clinical Education; Master of Public Health; Master of Tourism
Otago Polytechnic,Dunedin,22,20000,February,125,70,36000,6.5,58,Yes,20000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Alberta,Edmonton,4,25000,September,7,95,34000,6.5,88,Yes,20000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of Alberta,Edmonton,41,21000,September,6.5,90,31000,6,85,Yes,20000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Alberta,Edmonton,46,26000,September,7,95,36000,6.5,88,Yes,20000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
Deakin University,Geelong,16,20000,February,100,80,26000,6.5,58,Yes,30000,80,6.5,58,Yes,Agent P,Bachelor of Health Sciences; Bachelor of Information Technology; Bachelor of Commerce; Bachelor of Laws,Master of Business Analytics; Master of Education; Master of Human Resource Management; Master of International and Community Development
Griffith University,Gold Coast,15,20000,February,100,80,27000,6.5,58,Yes,31000,80,6.5,58,Yes,Agent O,Bachelor of International Tourism and Hotel Management; Bachelor of Nursing; Bachelor of Aviation; Bachelor of Engineering,Master of Finance; Master of Social Work; Master of International Law; Master of Architecture
Tai Poutini Polytechnic,Greymouth,18,18000,February,105,60,34000,6.5,58,Yes,31000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Guelph,Guelph,13,16000,September,6.5,90,25000,6,85,Yes,31000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of Guelph,Guelph,27,12000,September,6.5,90,22000,6,85,Yes,31000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
Dalhousie University,Halifax,11,18000,September,6.5,90,27000,6,85,Yes,31000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
McMaster University,Hamilton,42,22000,September,7,95,32000,6.5,88,Yes,31000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of Waikato,Hamilton,6,18000,February,100,60,34000,6.5,58,Yes,31000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Waikato,Hamilton,6,18000,February,100,60,34000,6.5,58,Yes,31000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Waikato,Hamilton,6,18000,February,100,60,34000,6.5,58,Yes,31000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Eastern Institute of Technology,Hastings,29,23500,February,160,90,39500,6.5,58,Yes,31000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Tasmania,Hobart,17,19000,February,100,75,25000,6.5,58,Yes,29000,75,6.5,58,Yes,Agent Q,Bachelor of Marine and Antarctic Science; Bachelor of Fine Arts; Bachelor of Pharmacy; Bachelor of Engineering (Specialization),Master of Business Administration; Master of Clinical Nursing; Master of Marine and Antarctic Science; Master of Information Technology and Systems
Southern Institute of Technology,Invercargill,12,16000,February,85,50,30000,6.5,58,Yes,29000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Queen's University,Kingston,7,22000,September,7,95,31000,6.5,88,Yes,29000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
Queen's University,Kingston,40,20000,September,7,95,30000,6.5,88,Yes,29000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
Lincoln University,Lincoln,8,18000,February,95,55,32000,6.5,58,Yes,29000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Lincoln University,Lincoln,8,18000,February,95,55,32000,6.5,58,Yes,29000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Lincoln University,Lincoln,8,18000,February,95,55,32000,6.5,58,Yes,29000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Southern Cross University,Lismore,28,18000,February,100,70,14000,6,50,Yes,18000,70,6,50,Yes,Agent BB,Bachelor of Environmental Science; Bachelor of Nursing; Bachelor of Business; Bachelor of Information Technology,Master of Forest Science and Management; Master of Education; Master of Marine Science and Management; Master of Business Administration
University of Western Ontario,London,22,17000,September,7,95,27000,6.5,88,Yes,18000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of Melbourne,Melbourne,2,21000,February,100,85,42000,6.5,58,Yes,47000,85,6.5,58,Yes,Agent B,Bachelor of Biomedicine; Bachelor of Fine Arts; Bachelor of Commerce; Bachelor of Design,Master of Information Technology; Master of Clinical Psychology; Master of Architecture; Master of Marketing
Monash University,Melbourne,8,21000,February,100,85,39000,6.5,58,Yes,43000,85,6.5,58,Yes,Agent H,Bachelor of Medical Science and Doctor of Medicine; Bachelor of Engineering (Honours); Bachelor of Science (Advanced Research); Bachelor of Arts and Bachelor of Education (Honours),Master of Business Law; Master of Banking and Finance; Master of Information Technology; Master of Education
RMIT University,Melbourne,10,20000,February,100,80,30000,6.5,58,Yes,34000,80,6.5,58,Yes,Agent J,Bachelor of Design (Digital Media); Bachelor of Engineering (Civil and Infrastructure) (Honours); Bachelor of Business (International Business); Bachelor of Biomedical Science,Master of Information Technology; Master of Engineering (Management); Master of Business Administration (MBA); Master of Fashion (Entrepreneurship)
La Trobe University,Melbourne,18,19000,February,100,75,24000,6.5,58,Yes,28000,75,6.5,58,Yes,Agent R,Bachelor of Arts; Bachelor of Science; Bachelor of Business; Bachelor of Education,Master of Public Health; Master of Business Administration; Master of Data Science; Master of Physiotherapy Practice
Victoria University,Melbourne,23,18000,February,100,70,19000,6,50,Yes,23000,70,6,50,Yes,Agent W,Bachelor of Information Technology; Bachelor of Business; Bachelor of Nursing; Bachelor of Education,Master of Business (Enterprise Resource Planning Systems); Master of Education; Master of Business Analytics; Master of Public Health
Swinburne University of Technology,Melbourne,25,18000,February,100,70,17000,6,50,Yes,23000,70,6,50,Yes,Agent Y,Bachelor of Design; Bachelor of Media and Communication; Bachelor of Business; Bachelor of Computer Science,Master of Data Science; Master of Business Administration; Master of Professional Engineering; Master of Information Technology
McGill University,Montreal,3,26000,September,7.5,100,35000,7,90,Yes,23000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Health
University of Montreal,Montreal,21,18000,September,7,95,28000,6.5,88,Yes,23000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
Concordia University,Montreal,24,15000,September,6.5,90,25000,6,85,Yes,23000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
Eastern Institute of Technology,Napier,10,17000,February,95,55,33000,6.5,58,Yes,23000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Nelson Marlborough Institute of Technology,Nelson,11,16500,February,90,50,31000,6.5,58,Yes,23000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Western Institute of Technology at Taranaki,New Plymouth,17,17500,February,100,55,33000,6.5,58,Yes,23000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Newcastle,Newcastle,13,20000,February,100,80,29000,6.5,58,Yes,33000,80,6.5,58,Yes,Agent M,Bachelor of Biomedical Science; Bachelor of Business; Bachelor of Education; Bachelor of Engineering,Master of Public Health; Master of Business Administration; Master of Applied Finance; Master of Environmental Management
University of Ottawa,Ottawa,8,21000,September,6.5,90,30000,6,85,Yes,33000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
Carleton University,Ottawa,14,15000,September,6.5,90,24000,6,85,Yes,33000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Ottawa,Ottawa,32,12000,September,7,95,22000,6.5,88,Yes,33000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
Carleton University,Ottawa,36,16000,September,6.5,90,26000,6,85,Yes,33000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of Ottawa,Ottawa,43,23000,September,6.5,90,33000,6,85,Yes,33000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
Massey University,Palmerston North,5,19000,February,110,65,36000,6.5,58,Yes,33000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Massey University,Palmerston North,5,19000,February,110,65,36000,6.5,58,Yes,33000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Massey University,Palmerston North,5,19000,February,110,65,36000,6.5,58,Yes,33000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Universal College of Learning,Palmerston North,26,22000,February,145,80,38000,6.5,58,Yes,33000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Western Australia,Perth,7,21000,February,100,85,35000,6.5,58,Yes,39000,85,6.5,58,Yes,Agent G,Bachelor of Science (Data Science); Bachelor of Arts (Communication and Media Studies); Bachelor of Commerce (Marketing); Bachelor of Science (Marine Biology),Master of Business Administration (MBA); Master of Public Policy; Master of Professional Engineering; Master of Clinical Audiology
Curtin University,Perth,14,20000,February,100,80,28000,6.5,58,Yes,32000,80,6.5,58,Yes,Agent N,Bachelor of Commerce; Bachelor of Engineering; Bachelor of Science; Bachelor of Arts,Master of International Business; Master of Engineering; Master of Professional Accounting; Master of Marketing
Murdoch University,Perth,24,18000,February,100,70,18000,6,50,Yes,22000,70,6,50,Yes,Agent X,Bachelor of Science in Veterinary Biology; Bachelor of Laws; Bachelor of Criminology; Bachelor of Nursing,Master of Education; Master of Business Administration; Master of Forensic Science; Master of Information Technology
Edith Cowan University,Perth,27,18000,February,100,70,15000,6,50,Yes,19000,70,6,50,Yes,Agent AA,Bachelor of Science; Bachelor of Education; Bachelor of Business; Bachelor of Computer Science,Master of Business Administration; Master of Public Health; Master of Cyber Security; Master of Engineering
Whitireia Community Polytechnic,Porirua,15,16500,February,90,55,31000,6.5,58,Yes,19000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Laval,Quebec City,25,14000,September,6.5,90,24000,6,85,Yes,19000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Regina,Regina,26,13000,September,6.5,90,23000,6,85,Yes,19000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
Waiariki Institute of Technology,Rotorua,14,16000,February,85,50,29500,6.5,58,Yes,19000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Bay of Plenty Polytechnic,Rotorua,27,22500,February,150,85,38500,6.5,58,Yes,19000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Saskatchewan,Saskatoon,12,17000,September,6.5,90,26000,6,85,Yes,19000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Saskatchewan,Saskatoon,30,9000,September,6.5,90,19000,6,85,Yes,19000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of Saskatchewan,Saskatoon,33,13000,September,6.5,90,23000,6,85,Yes,19000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Sherbrooke,Sherbrooke,23,16000,September,6.5,90,26000,6,85,Yes,19000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
Brock University,St. Catharines,19,10000,September,6.5,90,19000,6,85,Yes,19000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
Memorial University of Newfoundland,St. John's,17,12000,September,6.5,90,21000,6,85,Yes,19000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of Sydney,Sydney,1,21000,February,100,85,40000,6.5,58,Yes,45000,85,6.5,58,Yes,Agent A,Bachelor of Arts; Bachelor of Science; Bachelor of Engineering (Honours); Bachelor of Commerce,Master of Business Administration (MBA); Master of Engineering; Master of Public Health; Master of International Relations
UNSW,Sydney,5,21000,February,100,85,40000,6.5,58,Yes,44000,85,6.5,58,Yes,Agent E,Bachelor of Media; Bachelor of Economics; Bachelor of Mechanical Engineering; Bachelor of Aviation,Master of Financial Analysis; Master of Cyber Security; Master of Public Health; Master of Law
Macquarie University,Sydney,9,20000,February,100,80,33000,6.5,58,Yes,37000,80,6.5,58,Yes,Agent I,Bachelor of Actuarial Studies; Bachelor of Science (Software Technology); Bachelor of Psychology (Honours); Bachelor of Media and Communications,Master of Applied Finance; Master of Biotechnology; Master of Clinical Audiology; Master of International Business
Western Sydney University,Sydney,30,18000,February,100,70,12000,6,50,Yes,16000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Nursing; Bachelor of Business; Bachelor of Science,Master of Teaching; Master of Business Administration; Master of Information Technology; Master of Engineering
University of Waikato,Tauranga,9,18500,February,100,60,34500,6.5,58,Yes,16000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Bay of Plenty Polytechnic,Tauranga,16,17000,February,95,55,32500,6.5,58,Yes,16000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Aoraki Polytechnic,Timaru,19,18500,February,110,60,34500,6.5,58,Yes,16000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Toronto,Toronto,1,30000,September,7.5,100,40000,7,90,Yes,16000,70,6,50,Yes,Agent DD,Bachelor of Science; Bachelor of Arts; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Health
Ryerson University,Toronto,16,13000,September,6.5,90,22000,6,85,Yes,16000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
York University,Toronto,28,11000,September,6.5,90,21000,6,85,Yes,16000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of Toronto,Toronto,45,25000,September,6.5,90,35000,6,85,Yes,16000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Toronto,Toronto,47,27000,September,6.5,90,37000,6,85,Yes,16000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Toronto,Toronto,49,29000,September,6.5,90,39000,6,85,Yes,16000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
James Cook University,Townsville,29,18000,February,100,70,13000,6,50,Yes,16000,70,6,50,Yes,Agent CC,Bachelor of Marine Science; Bachelor of Business; Bachelor of Information Technology; Bachelor of Biomedical Sciences,Master of Public Health; Master of Business Administration; Master of Marine Biology; Master of Engineering (Professional)
University of British Columbia,Vancouver,2,28000,September,7,95,38000,6.5,88,Yes,31000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of British Columbia,Vancouver,44,24000,September,7,95,34000,6.5,88,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of British Columbia,Vancouver,48,28000,September,7,95,38000,6.5,88,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of British Columbia,Vancouver,50,30000,September,7,95,40000,6.5,88,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of Victoria,Victoria,15,14000,September,6.5,90,23000,6,85,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of Victoria,Victoria,35,15000,September,7,95,25000,6.5,88,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
